Time,Label,value
2017-03-14 05:50:00-04:00,ASPT,68.06
2017-03-14 05:52:00-04:00,ASPT,68.06
2017-03-14 05:54:00-04:00,ASPT,68.03
2017-03-14 05:56:00-04:00,ASPT,68.12
2017-03-14 05:58:00-04:00,ASPT,68.05
2017-03-14 06:00:00-04:00,ASPT,68.11
2017-03-14 06:02:00-04:00,ASPT,68.03
2017-03-14 06:04:00-04:00,ASPT,68.01
2017-03-14 06:06:00-04:00,ASPT,68.04
2017-03-14 06:08:00-04:00,ASPT,68.06
2017-03-14 06:10:00-04:00,ASPT,68.01
2017-03-14 06:12:00-04:00,ASPT,68.01
2017-03-14 06:14:00-04:00,ASPT,67.99
2017-03-14 06:16:00-04:00,ASPT,68.03
2017-03-14 06:18:00-04:00,ASPT,67.99
2017-03-14 06:20:00-04:00,ASPT,68.01
2017-03-14 06:22:00-04:00,ASPT,68.01
2017-03-14 06:24:00-04:00,ASPT,68.0
2017-03-14 06:26:00-04:00,ASPT,68.0
2017-03-14 06:28:00-04:00,ASPT,68.01
2017-03-14 06:30:00-04:00,ASPT,68.01
2017-03-14 06:32:00-04:00,ASPT,68.01
2017-03-14 06:34:00-04:00,ASPT,68.01
2017-03-14 06:36:00-04:00,ASPT,68.01
2017-03-14 06:38:00-04:00,ASPT,68.03
2017-03-14 06:40:00-04:00,ASPT,68.01
2017-03-14 06:42:00-04:00,ASPT,68.02
2017-03-14 06:44:00-04:00,ASPT,68.01
2017-03-14 06:46:00-04:00,ASPT,68.01
2017-03-14 06:48:00-04:00,ASPT,68.01
2017-03-14 06:50:00-04:00,ASPT,68.01
2017-03-14 06:52:00-04:00,ASPT,67.99
2017-03-14 06:54:00-04:00,ASPT,67.98
2017-03-14 06:56:00-04:00,ASPT,67.99
2017-03-14 06:58:00-04:00,ASPT,67.96
2017-03-14 07:00:00-04:00,ASPT,67.93
2017-03-14 07:02:00-04:00,ASPT,67.94
2017-03-14 07:04:00-04:00,ASPT,67.91
2017-03-14 07:06:00-04:00,ASPT,67.91
2017-03-14 07:08:00-04:00,ASPT,67.92
2017-03-14 07:10:00-04:00,ASPT,67.91
2017-03-14 07:12:00-04:00,ASPT,67.9
2017-03-14 07:14:00-04:00,ASPT,67.91
2017-03-14 07:16:00-04:00,ASPT,67.88
2017-03-14 07:18:00-04:00,ASPT,67.86
2017-03-14 07:20:00-04:00,ASPT,67.83
2017-03-14 07:22:00-04:00,ASPT,67.83
2017-03-14 07:24:00-04:00,ASPT,67.82
2017-03-14 07:26:00-04:00,ASPT,67.84
2017-03-14 07:28:00-04:00,ASPT,67.81
2017-03-14 07:30:00-04:00,ASPT,67.81
2017-03-14 07:32:00-04:00,ASPT,67.76
2017-03-14 07:34:00-04:00,ASPT,67.7
2017-03-14 07:36:00-04:00,ASPT,67.72
2017-03-14 07:38:00-04:00,ASPT,67.71
2017-03-14 07:40:00-04:00,ASPT,67.69
2017-03-14 07:42:00-04:00,ASPT,67.68
2017-03-14 07:44:00-04:00,ASPT,67.64
2017-03-14 07:46:00-04:00,ASPT,67.66
2017-03-14 07:48:00-04:00,ASPT,67.65
2017-03-14 07:50:00-04:00,ASPT,67.64
2017-03-14 07:52:00-04:00,ASPT,67.61
2017-03-14 07:54:00-04:00,ASPT,67.58
2017-03-14 07:56:00-04:00,ASPT,67.56
2017-03-14 07:58:00-04:00,ASPT,67.5
2017-03-14 08:00:00-04:00,ASPT,67.53
2017-03-14 08:02:00-04:00,ASPT,67.49
2017-03-14 08:04:00-04:00,ASPT,67.5
2017-03-14 08:06:00-04:00,ASPT,67.47
2017-03-14 08:08:00-04:00,ASPT,67.45
2017-03-14 08:10:00-04:00,ASPT,67.47
2017-03-14 08:12:00-04:00,ASPT,67.45
2017-03-14 08:14:00-04:00,ASPT,67.44
2017-03-14 08:16:00-04:00,ASPT,67.45
2017-03-14 08:18:00-04:00,ASPT,67.42
2017-03-14 08:20:00-04:00,ASPT,67.45
2017-03-14 08:22:00-04:00,ASPT,67.38
2017-03-14 08:24:00-04:00,ASPT,67.4
2017-03-14 08:26:00-04:00,ASPT,67.33
2017-03-14 08:28:00-04:00,ASPT,67.32
2017-03-14 08:30:00-04:00,ASPT,67.27
2017-03-14 08:32:00-04:00,ASPT,67.27
2017-03-14 08:34:00-04:00,ASPT,67.26
2017-03-14 08:36:00-04:00,ASPT,67.25
2017-03-14 08:38:00-04:00,ASPT,67.23
2017-03-14 08:40:00-04:00,ASPT,67.14
2017-03-14 08:42:00-04:00,ASPT,67.13
2017-03-14 08:44:00-04:00,ASPT,67.09
2017-03-14 08:46:00-04:00,ASPT,67.14
2017-03-14 08:48:00-04:00,ASPT,67.07
2017-03-14 08:50:00-04:00,ASPT,67.01
2017-03-14 08:52:00-04:00,ASPT,67.02
2017-03-14 08:54:00-04:00,ASPT,67.04
2017-03-14 08:56:00-04:00,ASPT,67.04
2017-03-14 08:58:00-04:00,ASPT,67.03
2017-03-14 09:00:00-04:00,ASPT,66.98
2017-03-14 09:02:00-04:00,ASPT,66.96
2017-03-14 09:04:00-04:00,ASPT,66.93
2017-03-14 09:06:00-04:00,ASPT,66.97
2017-03-14 09:08:00-04:00,ASPT,66.98
2017-03-14 09:10:00-04:00,ASPT,67.0
2017-03-14 09:12:00-04:00,ASPT,66.97
2017-03-14 09:14:00-04:00,ASPT,66.92
2017-03-14 09:16:00-04:00,ASPT,66.91
2017-03-14 09:18:00-04:00,ASPT,66.88
2017-03-14 09:20:00-04:00,ASPT,66.83
2017-03-14 09:22:00-04:00,ASPT,66.83
2017-03-14 09:24:00-04:00,ASPT,66.83
2017-03-14 09:26:00-04:00,ASPT,66.83
2017-03-14 09:28:00-04:00,ASPT,66.81
2017-03-14 09:30:00-04:00,ASPT,66.83
2017-03-14 09:32:00-04:00,ASPT,66.84
2017-03-14 09:34:00-04:00,ASPT,66.83
2017-03-14 09:36:00-04:00,ASPT,66.83
2017-03-14 09:38:00-04:00,ASPT,66.82
2017-03-14 09:40:00-04:00,ASPT,66.86
2017-03-14 09:42:00-04:00,ASPT,66.88
2017-03-14 09:44:00-04:00,ASPT,66.86
2017-03-14 09:46:00-04:00,ASPT,66.94
2017-03-14 09:48:00-04:00,ASPT,66.89
2017-03-14 09:50:00-04:00,ASPT,66.93
2017-03-14 09:52:00-04:00,ASPT,66.91
2017-03-14 09:54:00-04:00,ASPT,66.89
2017-03-14 09:56:00-04:00,ASPT,66.85
2017-03-14 09:58:00-04:00,ASPT,66.83
2017-03-14 10:00:00-04:00,ASPT,66.86
2017-03-14 10:02:00-04:00,ASPT,66.79
